test_idx,wt_idx,n_mutations,delta_ll,abs_ll,wt_abs_ll,entropy,logit_native,joint_ll,entropy_at_site,native_ll_at_site,emb_cosine_dist_to_wt
0,0,1,-6.2285156250,-0.2944093347,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
1,0,1,-10.5175781250,-0.3109694123,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
2,0,1,-9.4570312500,-0.3068746328,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
3,0,1,-9.6308593750,-0.3075457811,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
4,0,1,-7.4467773438,-0.2991130352,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
5,0,1,-8.5312500000,-0.3033002019,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
6,0,1,-8.2617187500,-0.3022595346,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
7,0,1,-6.0595703125,-0.2937570214,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
8,0,1,-8.9941406250,-0.3050874174,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
9,0,1,-7.2495117188,-0.2983513772,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
10,0,1,-8.7050781250,-0.3039713502,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
11,0,1,-7.6884765625,-0.3000462353,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
12,0,1,-9.4648437500,-0.3069047928,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
13,0,1,-8.1572265625,-0.3018560708,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
14,0,1,-8.0683593750,-0.3015129566,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
15,0,1,-5.6484375000,-0.2921696305,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
16,0,1,-3.3886718750,-0.2834446728,-0.270361,0.548814,6.583952,-156.706238,0.227210,-0.044382,
17,0,1,-2.4765625000,-0.2799230218,-0.270361,0.548814,6.583952,-156.706238,1.254175,-0.334793,
18,0,1,-9.3984375000,-0.3066484034,-0.270361,0.548814,6.583952,-156.706238,1.254175,-0.334793,
19,0,1,-5.0380859375,-0.2898130715,-0.270361,0.548814,6.583952,-156.706238,1.254175,-0.334793,
20,0,1,-4.4653320312,-0.2876016498,-0.270361,0.548814,6.583952,-156.706238,1.254175,-0.334793,
21,0,1,-4.9248046875,-0.2893756926,-0.270361,0.548814,6.583952,-156.706238,1.254175,-0.334793,
22,0,1,-3.3891601562,-0.2834465504,-0.270361,0.548814,6.583952,-156.706238,1.254175,-0.334793,
23,0,1,-6.4179687500,-0.2951408029,-0.270361,0.548814,6.583952,-156.706238,1.254175,-0.334793,
24,0,1,-4.3930664062,-0.2873226404,-0.270361,0.548814,6.583952,-156.706238,1.254175,-0.334793,
25,0,1,-5.6796875000,-0.2922903001,-0.270361,0.548814,6.583952,-156.706238,1.254175,-0.334793,
26,0,1,-4.0791015625,-0.2861104310,-0.270361,0.548814,6.583952,-156.706238,1.254175,-0.334793,
27,0,1,-5.2041015625,-0.2904540598,-0.270361,0.548814,6.583952,-156.706238,1.254175,-0.334793,
28,0,1,-4.7583007812,-0.2887328267,-0.270361,0.548814,6.583952,-156.706238,1.254175,-0.334793,
29,0,1,-4.8774414062,-0.2891928256,-0.270361,0.548814,6.583952,-156.706238,1.254175,-0.334793,
30,0,1,-3.7797851562,-0.2849547565,-0.270361,0.548814,6.583952,-156.706238,0.807105,-0.179784,
31,0,1,-8.9921875000,-0.3050798774,-0.270361,0.548814,6.583952,-156.706238,0.807105,-0.179784,
32,0,1,-6.2783203125,-0.2946016192,-0.270361,0.548814,6.583952,-156.706238,0.807105,-0.179784,
33,0,1,-6.8144531250,-0.2966716290,-0.270361,0.548814,6.583952,-156.706238,0.807105,-0.179784,
34,0,1,-4.7528686523,-0.2887118459,-0.270361,0.548814,6.583952,-156.706238,0.807105,-0.179784,
35,0,1,-3.8247070312,-0.2851282060,-0.270361,0.548814,6.583952,-156.706238,0.807105,-0.179784,
36,0,1,-7.2519531250,-0.2983608246,-0.270361,0.548814,6.583952,-156.706238,0.807105,-0.179784,
37,0,1,-1.4189454317,-0.2758395374,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
38,0,1,-7.8945307732,-0.3008418083,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
