test_idx,wt_idx,n_mutations,delta_ll,abs_ll,wt_abs_ll,entropy,logit_native,joint_ll
0,0,1,-2.625000,-1.182783,-1.172648,1.277084,19.317326,-121.949890
1,0,1,-8.687500,-1.206191,-1.172648,1.277084,19.317326,-121.949890
2,0,1,-7.937500,-1.203295,-1.172648,1.277084,19.317326,-121.949890
3,0,1,-7.812500,-1.202812,-1.172648,1.277084,19.317326,-121.949890
4,0,1,-2.875000,-1.183749,-1.172648,1.277084,19.317326,-121.949890
5,0,1,-6.062500,-1.196056,-1.172648,1.277084,19.317326,-121.949890
6,0,1,-6.187500,-1.196538,-1.172648,1.277084,19.317326,-121.949890
7,0,1,-2.250000,-1.181335,-1.172648,1.277084,19.317326,-121.949890
8,0,1,-6.750000,-1.198710,-1.172648,1.277084,19.317326,-121.949890
9,0,1,-4.250000,-1.189057,-1.172648,1.277084,19.317326,-121.949890
10,0,1,-5.812500,-1.195090,-1.172648,1.277084,19.317326,-121.949890
11,0,1,-4.375000,-1.189540,-1.172648,1.277084,19.317326,-121.949890
12,0,1,-6.250000,-1.196779,-1.172648,1.277084,19.317326,-121.949890
13,0,1,-4.125000,-1.188575,-1.172648,1.277084,19.317326,-121.949890
14,0,1,-5.750000,-1.194849,-1.172648,1.277084,19.317326,-121.949890
15,0,1,-2.750000,-1.183266,-1.172648,1.277084,19.317326,-121.949890
16,0,1,0.000000,-1.172648,-1.172648,1.277084,19.317326,-121.949890
17,0,1,0.375000,-1.171200,-1.172648,1.277084,19.317326,-121.949890
18,0,1,-5.062500,-1.192195,-1.172648,1.277084,19.317326,-121.949890
19,0,1,-2.875000,-1.183749,-1.172648,1.277084,19.317326,-121.949890
20,0,1,-2.562500,-1.182542,-1.172648,1.277084,19.317326,-121.949890
21,0,1,-2.312500,-1.181577,-1.172648,1.277084,19.317326,-121.949890
22,0,1,-2.250000,-1.181335,-1.172648,1.277084,19.317326,-121.949890
23,0,1,-2.875000,-1.183749,-1.172648,1.277084,19.317326,-121.949890
24,0,1,-1.750000,-1.179405,-1.172648,1.277084,19.317326,-121.949890
25,0,1,-1.500000,-1.178440,-1.172648,1.277084,19.317326,-121.949890
26,0,1,-0.500000,-1.174579,-1.172648,1.277084,19.317326,-121.949890
27,0,1,-2.187500,-1.181094,-1.172648,1.277084,19.317326,-121.949890
28,0,1,-1.000000,-1.176509,-1.172648,1.277084,19.317326,-121.949890
29,0,1,-6.500000,-1.197745,-1.172648,1.277084,19.317326,-121.949890
30,0,1,-0.125000,-1.173131,-1.172648,1.277084,19.317326,-121.949890
31,0,1,-7.562500,-1.201847,-1.172648,1.277084,19.317326,-121.949890
32,0,1,-2.312500,-1.181577,-1.172648,1.277084,19.317326,-121.949890
33,0,1,-1.500000,-1.178440,-1.172648,1.277084,19.317326,-121.949890
34,0,1,-0.875000,-1.176027,-1.172648,1.277084,19.317326,-121.949890
35,0,1,-2.625000,-1.182783,-1.172648,1.277084,19.317326,-121.949890
36,0,1,-3.750000,-1.187127,-1.172648,1.277084,19.317326,-121.949890
37,0,1,1.750000,-1.165891,-1.172648,1.277084,19.317326,-121.949890
38,0,1,-7.625000,-1.202088,-1.172648,1.277084,19.317326,-121.949890
39,0,1,-1.250000,-1.177474,-1.172648,1.277084,19.317326,-121.949890
40,0,1,-3.062500,-1.184473,-1.172648,1.277084,19.317326,-121.949890
41,0,1,-1.500000,-1.178440,-1.172648,1.277084,19.317326,-121.949890
42,0,1,0.500000,-1.170718,-1.172648,1.277084,19.317326,-121.949890
43,0,1,-5.937500,-1.195573,-1.172648,1.277084,19.317326,-121.949890
44,0,1,-0.875000,-1.176027,-1.172648,1.277084,19.317326,-121.949890
45,0,1,-4.125000,-1.188575,-1.172648,1.277084,19.317326,-121.949890
46,0,1,-0.875000,-1.176027,-1.172648,1.277084,19.317326,-121.949890
47,0,1,-3.062500,-1.184473,-1.172648,1.277084,19.317326,-121.949890
48,0,1,0.500000,-1.170718,-1.172648,1.277084,19.317326,-121.949890
49,0,1,0.250000,-1.171683,-1.172648,1.277084,19.317326,-121.949890
50,0,1,-1.187500,-1.177233,-1.172648,1.277084,19.317326,-121.949890
51,0,1,-1.687500,-1.179164,-1.172648,1.277084,19.317326,-121.949890
52,0,1,2.500000,-1.162996,-1.172648,1.277084,19.317326,-121.949890
53,0,1,2.375000,-1.163478,-1.172648,1.277084,19.317326,-121.949890
54,0,1,-4.125000,-1.188575,-1.172648,1.277084,19.317326,-121.949890
55,0,1,-9.375000,-1.208845,-1.172648,1.277084,19.317326,-121.949890
56,0,1,-4.625000,-1.190505,-1.172648,1.277084,19.317326,-121.949890
57,0,1,-6.375000,-1.197262,-1.172648,1.277084,19.317326,-121.949890
58,0,1,-8.500000,-1.205467,-1.172648,1.277084,19.317326,-121.949890
59,0,1,-7.500000,-1.201606,-1.172648,1.277084,19.317326,-121.949890
60,0,1,-10.937500,-1.214878,-1.172648,1.277084,19.317326,-121.949890
61,0,1,-9.500000,-1.209328,-1.172648,1.277084,19.317326,-121.949890
62,0,1,-10.187500,-1.211982,-1.172648,1.277084,19.317326,-121.949890
63,0,1,-4.062500,-1.188334,-1.172648,1.277084,19.317326,-121.949890
64,0,1,-10.375000,-1.212706,-1.172648,1.277084,19.317326,-121.949890
65,0,1,-9.625000,-1.209810,-1.172648,1.277084,19.317326,-121.949890
66,0,1,-10.187500,-1.211982,-1.172648,1.277084,19.317326,-121.949890
67,0,1,-11.875000,-1.218498,-1.172648,1.277084,19.317326,-121.949890
68,0,1,-3.625000,-1.186644,-1.172648,1.277084,19.317326,-121.949890
69,0,1,-9.937500,-1.211017,-1.172648,1.277084,19.317326,-121.949890
70,0,1,-11.750000,-1.218015,-1.172648,1.277084,19.317326,-121.949890
71,0,1,-9.562500,-1.209569,-1.172648,1.277084,19.317326,-121.949890
72,0,1,-5.750000,-1.194849,-1.172648,1.277084,19.317326,-121.949890
73,0,1,-7.687500,-1.202330,-1.172648,1.277084,19.317326,-121.949890
74,0,1,-10.375000,-1.212706,-1.172648,1.277084,19.317326,-121.949890
75,0,1,-1.250000,-1.177474,-1.172648,1.277084,19.317326,-121.949890
76,0,1,-8.562500,-1.205708,-1.172648,1.277084,19.317326,-121.949890
77,0,1,-4.125000,-1.188575,-1.172648,1.277084,19.317326,-121.949890
78,0,1,-5.375000,-1.193401,-1.172648,1.277084,19.317326,-121.949890
79,0,1,-5.750000,-1.194849,-1.172648,1.277084,19.317326,-121.949890
80,0,1,-3.500000,-1.186162,-1.172648,1.277084,19.317326,-121.949890
81,0,1,-7.750000,-1.202571,-1.172648,1.277084,19.317326,-121.949890
82,0,1,-4.125000,-1.188575,-1.172648,1.277084,19.317326,-121.949890
83,0,1,-6.125000,-1.196297,-1.172648,1.277084,19.317326,-121.949890
84,0,1,-3.000000,-1.184231,-1.172648,1.277084,19.317326,-121.949890
85,0,1,-4.687500,-1.190747,-1.172648,1.277084,19.317326,-121.949890
86,0,1,-2.125000,-1.180853,-1.172648,1.277084,19.317326,-121.949890
87,0,1,-2.750000,-1.183266,-1.172648,1.277084,19.317326,-121.949890
88,0,1,-3.250000,-1.185196,-1.172648,1.277084,19.317326,-121.949890
89,0,1,-3.750000,-1.187127,-1.172648,1.277084,19.317326,-121.949890
90,0,1,-1.750000,-1.179405,-1.172648,1.277084,19.317326,-121.949890
91,0,1,-2.375000,-1.181818,-1.172648,1.277084,19.317326,-121.949890
92,0,1,-7.812500,-1.202812,-1.172648,1.277084,19.317326,-121.949890
93,0,1,-5.875000,-1.195332,-1.172648,1.277084,19.317326,-121.949890
94,0,1,-7.062500,-1.199916,-1.172648,1.277084,19.317326,-121.949890
95,0,1,-7.562500,-1.201847,-1.172648,1.277084,19.317326,-121.949890
96,0,1,-2.875000,-1.183749,-1.172648,1.277084,19.317326,-121.949890
97,0,1,-4.875000,-1.191471,-1.172648,1.277084,19.317326,-121.949890
98,0,1,-6.750000,-1.198710,-1.172648,1.277084,19.317326,-121.949890
99,0,1,-5.375000,-1.193401,-1.172648,1.277084,19.317326,-121.949890
100,0,1,-5.875000,-1.195332,-1.172648,1.277084,19.317326,-121.949890
101,0,1,-7.812500,-1.202812,-1.172648,1.277084,19.317326,-121.949890
102,0,1,-3.750000,-1.187127,-1.172648,1.277084,19.317326,-121.949890
103,0,1,-5.000000,-1.191953,-1.172648,1.277084,19.317326,-121.949890
104,0,1,-4.500000,-1.190023,-1.172648,1.277084,19.317326,-121.949890
105,0,1,-2.375000,-1.181818,-1.172648,1.277084,19.317326,-121.949890
106,0,1,-0.750000,-1.175544,-1.172648,1.277084,19.317326,-121.949890
107,0,1,-6.562500,-1.197986,-1.172648,1.277084,19.317326,-121.949890
108,0,1,-4.687500,-1.190747,-1.172648,1.277084,19.317326,-121.949890
109,0,1,-3.437500,-1.185920,-1.172648,1.277084,19.317326,-121.949890
110,0,1,-5.875000,-1.195332,-1.172648,1.277084,19.317326,-121.949890
111,0,1,-2.000000,-1.180370,-1.172648,1.277084,19.317326,-121.949890
112,0,1,-2.437500,-1.182059,-1.172648,1.277084,19.317326,-121.949890
113,0,1,-4.250000,-1.189057,-1.172648,1.277084,19.317326,-121.949890
114,0,1,-0.250000,-1.173613,-1.172648,1.277084,19.317326,-121.949890
115,0,1,-2.937500,-1.183990,-1.172648,1.277084,19.317326,-121.949890
116,0,1,-5.000000,-1.191953,-1.172648,1.277084,19.317326,-121.949890
117,0,1,-2.000000,-1.180370,-1.172648,1.277084,19.317326,-121.949890
118,0,1,-1.375000,-1.177957,-1.172648,1.277084,19.317326,-121.949890
119,0,1,-4.125000,-1.188575,-1.172648,1.277084,19.317326,-121.949890
120,0,1,-10.000000,-1.211258,-1.172648,1.277084,19.317326,-121.949890
121,0,1,-8.062500,-1.203778,-1.172648,1.277084,19.317326,-121.949890
122,0,1,-8.000000,-1.203536,-1.172648,1.277084,19.317326,-121.949890
123,0,1,-9.437500,-1.209086,-1.172648,1.277084,19.317326,-121.949890
124,0,1,-6.562500,-1.197986,-1.172648,1.277084,19.317326,-121.949890
125,0,1,-6.500000,-1.197745,-1.172648,1.277084,19.317326,-121.949890
126,0,1,-5.625000,-1.194366,-1.172648,1.277084,19.317326,-121.949890
127,0,1,-3.375000,-1.185679,-1.172648,1.277084,19.317326,-121.949890
128,0,1,-6.250000,-1.196779,-1.172648,1.277084,19.317326,-121.949890
129,0,1,-7.437500,-1.201364,-1.172648,1.277084,19.317326,-121.949890
130,0,1,-4.625000,-1.190505,-1.172648,1.277084,19.317326,-121.949890
131,0,1,-4.875000,-1.191471,-1.172648,1.277084,19.317326,-121.949890
132,0,1,-4.750000,-1.190988,-1.172648,1.277084,19.317326,-121.949890
133,0,1,-2.000000,-1.180370,-1.172648,1.277084,19.317326,-121.949890
134,0,1,-2.500000,-1.182301,-1.172648,1.277084,19.317326,-121.949890
135,0,1,-4.250000,-1.189057,-1.172648,1.277084,19.317326,-121.949890
136,0,1,-6.187500,-1.196538,-1.172648,1.277084,19.317326,-121.949890
137,0,1,-8.500000,-1.205467,-1.172648,1.277084,19.317326,-121.949890
138,0,1,-8.062500,-1.203778,-1.172648,1.277084,19.317326,-121.949890
139,0,1,1.000000,-1.168787,-1.172648,1.277084,19.317326,-121.949890
140,0,1,-5.937500,-1.195573,-1.172648,1.277084,19.317326,-121.949890
141,0,1,-1.375000,-1.177957,-1.172648,1.277084,19.317326,-121.949890
142,0,1,-4.562500,-1.190264,-1.172648,1.277084,19.317326,-121.949890
143,0,1,-3.937500,-1.187851,-1.172648,1.277084,19.317326,-121.949890
144,0,1,-1.125000,-1.176992,-1.172648,1.277084,19.317326,-121.949890
145,0,1,-3.937500,-1.187851,-1.172648,1.277084,19.317326,-121.949890
146,0,1,-5.875000,-1.195332,-1.172648,1.277084,19.317326,-121.949890
147,0,1,-4.875000,-1.191471,-1.172648,1.277084,19.317326,-121.949890
148,0,1,-4.750000,-1.190988,-1.172648,1.277084,19.317326,-121.949890
149,0,1,-0.875000,-1.176027,-1.172648,1.277084,19.317326,-121.949890
150,0,1,-5.312500,-1.193160,-1.172648,1.277084,19.317326,-121.949890
151,0,1,-5.312500,-1.193160,-1.172648,1.277084,19.317326,-121.949890
152,0,1,-2.125000,-1.180853,-1.172648,1.277084,19.317326,-121.949890
153,0,1,-2.000000,-1.180370,-1.172648,1.277084,19.317326,-121.949890
154,0,1,-0.500000,-1.174579,-1.172648,1.277084,19.317326,-121.949890
155,0,1,-6.687500,-1.198469,-1.172648,1.277084,19.317326,-121.949890
156,0,1,-3.125000,-1.184714,-1.172648,1.277084,19.317326,-121.949890
