n_ionizable,catalytic_his_pka,n_his_shifted,mean_ionizable_pka_shift,proton_frac_his_pH55,proton_frac_his_pH90,delta_protonation_his,mean_proton_frac_all_pH55,mean_proton_frac_all_pH90,wt_idx,pdb_file
51,4.265275294489665,1,4.4439893073201855,0.05504123287591599,1.8419052896976863e-05,0.05502281382301901,0.6681543576988822,0.5683065866427147,0,wt_000.pdb
51,5.482696831564345,1,0.7971389046727122,0.4900408129629214,0.0003037839884855068,0.4897370289744359,0.6746142350253844,0.5389453650857444,1,wt_001.pdb
73,3.565213952880598,3,0.8134924794433414,0.011486731142466905,3.6746193447088957e-06,0.011483056523122195,0.606468341069507,0.5138792229681131,2,wt_002.pdb
60,3.5686025288570695,5,3.9332409318078145,0.01157566521721202,3.7034025433257316e-06,0.011571961814668694,0.6441676092092844,0.527188934911047,3,wt_003.pdb
51,3.591021901458325,4,4.430428285879326,0.012181452546989324,3.8996013124068515e-06,0.012177552945676918,0.6490114574561667,0.567774855134174,4,wt_004.pdb
45,4.7942513111613145,1,8.770445384865253,0.16451008386043628,6.226217247861929e-05,0.16444782168795766,0.7063348685174158,0.6039976251596764,5,wt_005.pdb
65,3.5823956649907673,4,3.6112464549369854,0.01194474539582702,3.822909391390455e-06,0.01194092248643563,0.626689858827489,0.5325148627112007,6,wt_006.pdb
64,3.563045214608616,2,0.8083376045678113,0.011430166802466642,3.656315189761927e-06,0.01142651048727688,0.61933608714694,0.524848661191893,7,wt_007.pdb
55,4.1401363224634276,3,0.926321008544261,0.0418384015232477,1.380798560742276e-05,0.04182459353764028,0.6756772985973947,0.5936140267640101,8,wt_008.pdb
67,3.6069270091256955,4,3.530816315020585,0.012630102974685269,4.045062650120686e-06,0.012626057912035148,0.594112205761598,0.4874476481135894,9,wt_009.pdb
44,3.745948615599655,3,4.994885010171808,0.01731266691684306,5.57116724503268e-06,0.017307095749598028,0.6489336904494076,0.5637272377408663,10,wt_010.pdb
53,3.7514539215039515,3,4.285512194546947,0.0175296551228255,5.642238903656211e-06,0.017524012883921844,0.6588592179853533,0.5599548560321301,11,wt_011.pdb
76,2.4721718187316704,6,0.988322098840378,0.000937054111409397,2.9660037099560196e-07,0.0009367575110384014,0.5419240128624264,0.4808139941425808,12,wt_012.pdb
65,3.7604272510492605,2,3.580674294079659,0.017889071292756617,5.76003005471023e-06,0.017883311262701908,0.5582092679086581,0.45675781309521857,13,wt_013.pdb
59,3.792152732557984,3,3.91768811526862,0.019218739139409042,6.196551184970347e-06,0.019212542588224073,0.5928354740312494,0.4755554508984986,14,wt_014.pdb
67,5.128687121396492,1,0.9903813223551693,0.2983893382927555,0.00013447102567013626,0.29825486726708533,0.6574829857817333,0.4385205538708021,15,wt_015.pdb
